Issue Type,Severity,Name,Description,Impact,Details,Action,File,File Path,Line Number,File Details
"Issue","ERROR","Missing control card detected","One or more missing control cards were detected.","May have impact during the execution.","A JCL control card or configuration file is not present in the analyzed codebase.","Include the missing control card in your source code inputs. If the control card is provided dynamically at runtime (e.g., via an external SYSIN file), ensure it will be available in the target environment when the modernized batch job executes.","DBPAUTP0.jcl","demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl","","Missing Control Card: DFSVSMDB (Control card)"
"Issue","ERROR","Missing control card detected","One or more missing control cards were detected.","May have impact during the execution.","A JCL control card or configuration file is not present in the analyzed codebase.","Include the missing control card in your source code inputs. If the control card is provided dynamically at runtime (e.g., via an external SYSIN file), ensure it will be available in the target environment when the modernized batch job executes.","LOADPADB.JCL","demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL","","Missing Control Card: DFSVSMDB (Control card)"
"Issue","ERROR","Missing control card detected","One or more missing control cards were detected.","May have impact during the execution.","A JCL control card or configuration file is not present in the analyzed codebase.","Include the missing control card in your source code inputs. If the control card is provided dynamically at runtime (e.g., via an external SYSIN file), ensure it will be available in the target environment when the modernized batch job executes.","UNLDGSAM.JCL","demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL","","Missing Control Card: DFSVSMDB (Control card)"
"Issue","ERROR","Missing control card detected","One or more missing control cards were detected.","May have impact during the execution.","A JCL control card or configuration file is not present in the analyzed codebase.","Include the missing control card in your source code inputs. If the control card is provided dynamically at runtime (e.g., via an external SYSIN file), ensure it will be available in the target environment when the modernized batch job executes.","UNLDPADB.JCL","demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL","","Missing Control Card: DFSVSMDB (Control card)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","DBUNLDGS.CBL","demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL","","Missing Dynamic Call Value: CHILD-UNQUAL-SSA (IMS message invocation; [Dynamic] Call), Missing Dynamic Call Value: ROOT-UNQUAL-SSA (IMS message invocation; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","PAUDBLOD.CBL","demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL","","Missing Dynamic Call Value: CHILD-UNQUAL-SSA (IMS message invocation; [Dynamic] Call), Missing Dynamic Call Value: ROOT-QUAL-SSA (IMS message invocation; [Dynamic] Call), Missing Dynamic Call Value: ROOT-UNQUAL-SSA (IMS message invocation; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","PAUDBUNL.CBL","demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL","","Missing Dynamic Call Value: CHILD-UNQUAL-SSA (IMS message invocation; [Dynamic] Call), Missing Dynamic Call Value: ROOT-UNQUAL-SSA (IMS message invocation; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","CBPAUP0J.jcl","demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl","","Missing [Dataset, PDS]: IMS.SDFSRESL (PDS use; Read Dataset)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","DBPAUTP0.jcl","demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl","","Missing [Dataset, PDS]: OEMA.IMS.IMSP.SDFSRESL (PDS use; Read Dataset), Missing PDS: OEMPP.IMS.V15R01MB.PROCLIB (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","LOADPADB.JCL","demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL","","Missing [Dataset, PDS]: OEMA.IMS.IMSP.SDFSRESL (PDS use; Read Dataset), Missing PDS: OEMPP.IMS.V15R01MB.PROCLIB (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","UNLDGSAM.JCL","demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL","","Missing [Dataset, PDS]: OEMA.IMS.IMSP.SDFSRESL (PDS use; Read Dataset), Missing PDS: OEMPP.IMS.V15R01MB.PROCLIB (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","UNLDPADB.JCL","demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL","","Missing [Dataset, PDS]: OEMA.IMS.IMSP.SDFSRESL (PDS use; Read Dataset), Missing PDS: OEMPP.IMS.V15R01MB.PROCLIB (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","CSDB2RPY.cpy","demo/app-transaction-type-db2/cpy/CSDB2RPY.cpy","","Missing Dynamic Call Value: LIT-DSNTIAC (Call; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","CREADB21.jcl","demo/app-transaction-type-db2/jcl/CREADB21.jcl","","Missing PDS: OEM.DB2.DAZ1.RUNLIB.LOAD (PDS use; Resolved Symbol), Missing PDS: OEM.DB2.DAZ1.SDSNEXIT (PDS use), Missing [Dataset, PDS]: OEM.DB2.DAZ1.SDSNLOAD (PDS use; Read Dataset; Resolved Symbol)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","MNTTRDB2.jcl","demo/app-transaction-type-db2/jcl/MNTTRDB2.jcl","","Missing PDS: OEM.DB2.DAZ1.SDSNEXIT (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","TRANEXTR.jcl","demo/app-transaction-type-db2/jcl/TRANEXTR.jcl","","Missing PDS: OEM.DB2.DAZ1.RUNLIB.LOAD (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","COADM01C.cbl","demo/cbl/COADM01C.cbl","","Missing Dynamic Call Value: CDEMO-ADMIN-OPT-PGMNAME (Exec CICS program; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","COMEN01C.cbl","demo/cbl/COMEN01C.cbl","","Missing Dynamic Call Value: CDEMO-MENU-OPT-PGMNAME (Exec CICS program; [Dynamic] Call)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","CBADMCDJ.jcl","demo/jcl/CBADMCDJ.jcl","","Missing PDS: OEM.CICSTS.V05R06M0.CICS.SDFHLOAD (PDS use)"
"Issue","ERROR","Missing dependency detected","One or more missing dependencies were detected in the dependencies graph.","May have impact on Transform step.","A referenced component could not be found in the analyzed codebase.","Verify the missing component exists in your source code and and include it in the analysis scope.","TXT2PDF1.JCL","demo/jcl/TXT2PDF1.JCL","","Missing PDS: AWS.M2.LBD.TXT2PDF.LOAD (PDS use)"
"Issue","ERROR","Unknown file type detected","One or more files are classified as UNKNOWN.","May have impact on Transform step.","The classification process was unable to determine the type of one or more files in the codebase. These files may be data files, configuration files, or artifacts in an unrecognized format.","Review the detected unknown files and determine if they are required for the application. If needed, manually classify them or use the correct file extensions.","PROJECT","","","Found 8 file(s) classified as UNKNOWN."
