Name,Type,Path,Parents,Link Types
COCRDSEC,Missing Program,-,CDV1,Start program
AWS.M2.CARDDEMO.DATEPARM,Missing Dataset,-,"TRANREPT.prc, TRANREPT.jcl","Read Dataset, Read Dataset"
AWS.M2.CARDDEMO.DBRMLIB,Missing Dataset,-,MNTTRDB2.jcl,Read Dataset
AWS.M2.CARDDEMO.ESDSRRDS.PS,Missing Dataset,-,ESDSRRDS.jcl,Read Dataset; Write Dataset
AWS.M2.CARDDEMO.IMPORT.ERRORS,Missing Dataset,-,CBIMPORT.jcl,Write Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,Missing Dataset,-,"LOADPADB.JCL, UNLDPADB.JCL","Read Dataset, Read Dataset; Write Dataset"
AWS.M2.CARDDEMO.PAUTDB.CHILD.GSAM,Missing Dataset,-,UNLDGSAM.JCL,Read Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,Missing Dataset,-,"LOADPADB.JCL, UNLDPADB.JCL","Read Dataset, Read Dataset; Write Dataset"
AWS.M2.CARDDEMO.PAUTDB.ROOT.GSAM,Missing Dataset,-,UNLDGSAM.JCL,Read Dataset
AWS.M2.CARDDEMO.STATEMNT.HTML,Missing Dataset,-,CREASTMT.JCL,Write Dataset
AWS.M2.CARDDEMO.STATEMNT.PS,Missing Dataset,-,"TXT2PDF1.JCL, CREASTMT.JCL","Read Dataset, Write Dataset"
AWS.M2.CARDDEMO.TRANCATG.PS.BKUP(+1),Missing Dataset,-,TRANEXTR.jcl,Resolved Symbol; Write Dataset
AWS.M2.CARDDEMO.TRANCATG.PS,Missing Dataset,-,TRANEXTR.jcl,Read Dataset; Resolved Symbol; Write Dataset
AWS.M2.CARDDEMO.TRANSACT.IMPORT,Missing Dataset,-,CBIMPORT.jcl,Write Dataset
AWS.M2.CARDDEMO.TRANTYPE.BKUP(+1),Missing Dataset,-,TRANEXTR.jcl,Resolved Symbol; Write Dataset
AWS.M2.CARDDEMO.TRANTYPE.PS,Missing Dataset,-,TRANEXTR.jcl,Read Dataset; Resolved Symbol; Write Dataset
AWS.M2.CARDDEMO.TRXFL.SEQ,Missing Dataset,-,CREASTMT.JCL,Read Dataset; Write Dataset
AWS.M2.CARDEMO.FTP.TEST.BKUP.INTRDR,Missing Dataset,-,INTRDRJ2.JCL,Read Dataset
AWS.M2.CARDEMO.FTP.TEST.BKUP,Missing Dataset,-,"INTRDRJ2.JCL, INTRDRJ1.JCL","Read Dataset, Read Dataset"
AWS.M2.LBD.TXT2PDF.EXEC,Missing Dataset,-,TXT2PDF1.JCL,Read Dataset
CEE.SCEERUN,Missing Dataset,-,CREADB21.jcl,Read Dataset
IMS.DBDLIB,Missing Dataset,-,CBPAUP0J.jcl,Read Dataset
IMS.PROCLIB,Missing Dataset,-,CBPAUP0J.jcl,Read Dataset
IMS.PSBLIB,Missing Dataset,-,CBPAUP0J.jcl,Read Dataset
INPFILE,Missing Dataset,-,MNTTRDB2.jcl,Read Dataset
OEM.CICSTS.DFHCSD,Missing Dataset,-,CBADMCDJ.jcl,Read Dataset
OEM.IMS.IMSP.DBDLIB,Missing Dataset,-,"LOADPADB.JCL, UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","Read Dataset, Read Dataset, Read Dataset, Read Dataset"
OEM.IMS.IMSP.PAUTHDBX,Missing Dataset,-,"UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","Read Dataset, Read Dataset, Read Dataset"
OEM.IMS.IMSP.PAUTHDB,Missing Dataset,-,"UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","Read Dataset, Read Dataset, Read Dataset"
OEM.IMS.IMSP.PSBLIB,Missing Dataset,-,"LOADPADB.JCL, UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","Read Dataset, Read Dataset, Read Dataset, Read Dataset"
OEM.IMS.IMSP.RECON1,Missing Dataset,-,DBPAUTP0.jcl,Read Dataset
OEM.IMS.IMSP.RECON2,Missing Dataset,-,DBPAUTP0.jcl,Read Dataset
OEM.IMS.IMSP.RECON3,Missing Dataset,-,DBPAUTP0.jcl,Read Dataset
OEMA.DB2.VERSIONA.SDSNLOAD,Missing Dataset,-,"CREADB21.jcl, TRANEXTR.jcl, MNTTRDB2.jcl","Read Dataset, Read Dataset, Read Dataset"
OEMA.IMS.IMSP.SDFSRESL.V151,Missing Dataset,-,"LOADPADB.JCL, UNLDGSAM.JCL, UNLDPADB.JCL","Read Dataset, Read Dataset, Read Dataset"
ACCTFILE,Missing Source File,-,"CBSTM03B.CBL, CBACT04C.cbl, CBTRN01C.cbl, CBEXPORT.cbl, CBTRN02C.cbl, CBACT01C.cbl","Assignment clause, Assignment clause, Assignment clause, Assignment clause, Assignment clause, Assignment clause"
ACCTOUT,Missing Source File,-,CBIMPORT.cbl,Assignment clause
ARRYFILE,Missing Source File,-,CBACT01C.cbl,Assignment clause
AWS.M2.LBD.TXT2PDF.LOAD,Missing PDS,-,TXT2PDF1.JCL,PDS use
CARDFILE,Missing Source File,-,"CBACT02C.cbl, CBTRN01C.cbl, CBEXPORT.cbl","Assignment clause, Assignment clause, Assignment clause"
