data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges,is_inline
COACCT01,WS-MQ-MSG-FLAG,FIELD,X(01),ALPHANUMERIC,1,1,Message queue flag indicator (VALUE 'N'),WS-MQ-MSG-FLAG,X,1,0,NO,DISPLAY,,,,,WS-MQ-MSG-FLAG,1,NO,,NO,'N',,,YES
COACCT01,NO-MORE-MSGS,CONDITION,N/A,DISPLAY,88,0,Condition: no more messages available in queue (VALUE 'Y'),WS-MQ-MSG-FLAG,N/A,0,0,NO,DISPLAY,,,,,WS-MQ-MSG-FLAG,1,NO,,NO,,'Y',,YES
COACCT01,WS-RESP-QUEUE-STS,FIELD,X(01),ALPHANUMERIC,1,1,Response queue status flag (VALUE 'N'),WS-RESP-QUEUE-STS,X,1,0,NO,DISPLAY,,,,,WS-RESP-QUEUE-STS,1,NO,,NO,'N',,,YES
COACCT01,RESP-QUEUE-OPEN,CONDITION,N/A,DISPLAY,88,0,Condition: response queue is open (VALUE 'Y'),WS-RESP-QUEUE-STS,N/A,0,0,NO,DISPLAY,,,,,WS-RESP-QUEUE-STS,1,NO,,NO,,'Y',,YES
COACCT01,WS-ERR-QUEUE-STS,FIELD,X(01),ALPHANUMERIC,1,1,Error queue status flag (VALUE 'N'),WS-ERR-QUEUE-STS,X,1,0,NO,DISPLAY,,,,,WS-ERR-QUEUE-STS,1,NO,,NO,'N',,,YES
COACCT01,ERR-QUEUE-OPEN,CONDITION,N/A,DISPLAY,88,0,Condition: error queue is open (VALUE 'Y'),WS-ERR-QUEUE-STS,N/A,0,0,NO,DISPLAY,,,,,WS-ERR-QUEUE-STS,1,NO,,NO,,'Y',,YES
COACCT01,WS-REPLY-QUEUE-STS,FIELD,X(01),ALPHANUMERIC,1,1,Reply queue status flag (VALUE 'N'),WS-REPLY-QUEUE-STS,X,1,0,NO,DISPLAY,,,,,WS-REPLY-QUEUE-STS,1,NO,,NO,'N',,,YES
COACCT01,REPLY-QUEUE-OPEN,CONDITION,N/A,DISPLAY,88,0,Condition: reply queue is open (VALUE 'Y'),WS-REPLY-QUEUE-STS,N/A,0,0,NO,DISPLAY,,,,,WS-REPLY-QUEUE-STS,1,NO,,NO,,'Y',,YES
COACCT01,WS-CICS-RESP-CDS,RECORD,N/A,GROUP,1,24,CICS response codes group,WS-CICS-RESP-CDS,N/A,0,0,NO,DISPLAY,,,,,WS-CICS-RESP-CDS,1,NO,,NO,,,,YES
COACCT01,WS-CICS-RESP1-CD,FIELD,S9(08) COMP,BINARY,5,4,"Primary CICS response code (USAGE COMP, VALUE ZERO)",WS-CICS-RESP-CDS,'+/-99999999,9,0,YES,COMP,,,,,WS-CICS-RESP-CDS,1,NO,,NO,ZERO,,,YES
COACCT01,WS-CICS-RESP2-CD,FIELD,S9(08) COMP,BINARY,5,4,"Secondary CICS response code (USAGE COMP, VALUE ZERO)",WS-CICS-RESP-CDS,'+/-99999999,9,0,YES,COMP,,,,,WS-CICS-RESP-CDS,5,NO,,NO,ZERO,,,YES
COACCT01,WS-CICS-RESP1-CD-D,FIELD,9(08),NUMERIC,5,8,Primary CICS response code display format (VALUE ZERO),WS-CICS-RESP-CDS,99999999,8,0,NO,DISPLAY,,,,,WS-CICS-RESP-CDS,9,NO,,NO,ZERO,,,YES
