data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges,is_inline
COTRN00,COTRN0AI,RECORD,N/A,GROUP,1,1265,Output map record for transaction inquiry screen display,COTRN0AI,N/A,0,0,NO,DISPLAY,,,,,COTRN0AI,1,NO,,NO,,,,NO
COTRN00,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN0AI,X(12),12,0,NO,DISPLAY,,,,,COTRN0AI,1,NO,,NO,,,,NO
COTRN00,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length of transaction name field (USAGE COMP),COTRN0AI,'+/-9999,5,0,YES,COMP,,,,,COTRN0AI,13,NO,,NO,,,,NO
COTRN00,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Attribute byte for transaction name field,COTRN0AI,X,1,0,NO,DISPLAY,,,,,COTRN0AI,15,NO,,NO,,,,NO
COTRN00,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN0AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COTRN0AI,15,NO,,NO,,,,NO
COTRN00,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute indicator for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COTRN0AI,15,NO,,NO,,,,NO
COTRN00,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN0AI,X(4),4,0,NO,DISPLAY,,,,,COTRN0AI,16,NO,,NO,,,,NO
COTRN00,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input value (4 characters),COTRN0AI,X(4),4,0,NO,DISPLAY,,,,,COTRN0AI,20,NO,,NO,,,,NO
COTRN00,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length of title 01 field (USAGE COMP),COTRN0AI,'+/-9999,5,0,YES,COMP,,,,,COTRN0AI,24,NO,,NO,,,,NO
COTRN00,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Attribute byte for title 01 field,COTRN0AI,X,1,0,NO,DISPLAY,,,,,COTRN0AI,26,NO,,NO,,,,NO
COTRN00,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN0AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COTRN0AI,26,NO,,NO,,,,NO
