Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
AWS.CCDA.CUSTDATA.CLUSTER,DEFCUST.jcl,demo/jcl/DEFCUST.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,Dataset
AWS.CUSTDATA.CLUSTER,DEFCUST.jcl,demo/jcl/DEFCUST.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.CUSTDATA.CLUSTER.DATA,DEFCUST.jcl,demo/jcl/DEFCUST.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.CUSTDATA.CLUSTER.INDEX,DEFCUST.jcl,demo/jcl/DEFCUST.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.M2.CARDDEMO.ACCTDATA.ARRYPS,CBACT01C.cbl,demo/cbl/CBACT01C.cbl,COBOL,,ARRYFILE,,,ARRY-FILE,,,WRITE,,Dataset
AWS.M2.CARDDEMO.ACCTDATA.ARRYPS,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,PREDEL,DD02,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.ACCTDATA.ARRYPS,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,STEP05,ARRYFILE,"NEW,CATLG,DELETE",CBACT01C,,,,,No,Dataset
AWS.M2.CARDDEMO.ACCTDATA.IMPORT,CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,COBOL,,ACCTOUT,,,ACCOUNT-OUTPUT,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,WRITE,,Dataset
AWS.M2.CARDDEMO.ACCTDATA.IMPORT,CBIMPORT.jcl,demo/jcl/CBIMPORT.jcl,JCL,STEP01,ACCTOUT,"NEW,CATLG,DELETE",CBIMPORT,,,,,No,Dataset
AWS.M2.CARDDEMO.ACCTDATA.PS,ACCTFILE.jcl,demo/jcl/ACCTFILE.jcl,JCL,STEP15,ACCTDATA,SHR,IDCAMS,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.ACCTDATA.PSCOMP,CBACT01C.cbl,demo/cbl/CBACT01C.cbl,COBOL,,OUTFILE,,,OUT-FILE,,,WRITE,,Dataset
AWS.M2.CARDDEMO.ACCTDATA.PSCOMP,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,PREDEL,DD01,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.ACCTDATA.PSCOMP,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,STEP05,OUTFILE,"NEW,CATLG,DELETE",CBACT01C,,,,,No,Dataset
AWS.M2.CARDDEMO.ACCTDATA.VBPS,CBACT01C.cbl,demo/cbl/CBACT01C.cbl,COBOL,,VBRCFILE,,,VBRC-FILE,,,WRITE,,Dataset
AWS.M2.CARDDEMO.ACCTDATA.VBPS,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,PREDEL,DD03,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.ACCTDATA.VBPS,READACCT.jcl,demo/jcl/READACCT.jcl,JCL,STEP05,VBRCFILE,"NEW,CATLG,DELETE",CBACT01C,,,,,No,Dataset
AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE.jcl,demo/jcl/ACCTFILE.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
