File Name,File Path,Data Source Name,DD Name,Logical Name,Copybook Record Name,Copybook File Path,Data Source Type,Access Type,File Type
CBACT01C.cbl,demo/cbl/CBACT01C.cbl,AWS.M2.CARDDEMO.ACCTDATA.ARRYPS,ARRYFILE,ARRY-FILE,,,Dataset,WRITE,COBOL
CBACT01C.cbl,demo/cbl/CBACT01C.cbl,AWS.M2.CARDDEMO.ACCTDATA.PSCOMP,OUTFILE,OUT-FILE,,,Dataset,WRITE,COBOL
CBACT01C.cbl,demo/cbl/CBACT01C.cbl,AWS.M2.CARDDEMO.ACCTDATA.VBPS,VBRCFILE,VBRC-FILE,,,Dataset,WRITE,COBOL
CBACT01C.cbl,demo/cbl/CBACT01C.cbl,AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE,ACCTFILE-FILE,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,VSAM KSDS,READ,COBOL
CBACT02C.cbl,demo/cbl/CBACT02C.cbl,AWS.M2.CARDDEMO.CARDDATA.VSAM.KSDS,CARDFILE,CARDFILE-FILE,CARD-RECORD,demo/cpy/CVACT02Y.cpy,VSAM KSDS,READ,COBOL
CBACT03C.cbl,demo/cbl/CBACT03C.cbl,AWS.M2.CARDDEMO.CARDXREF.VSAM.KSDS,XREFFILE,XREFFILE-FILE,CARD-XREF-RECORD,demo/cpy/CVACT03Y.cpy,VSAM KSDS,READ,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE,ACCOUNT-FILE,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,VSAM KSDS,READ; UPDATE; WRITE,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.CARDXREF.VSAM.AIX.PATH,XREFFIL1,,,,VSAM PATH,,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.CARDXREF.VSAM.KSDS,XREFFILE,XREF-FILE,CARD-XREF-RECORD,demo/cpy/CVACT03Y.cpy,VSAM KSDS,READ,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.DISCGRP.VSAM.KSDS,DISCGRP,DISCGRP-FILE,DIS-GROUP-RECORD,demo/cpy/CVTRA02Y.cpy,VSAM KSDS,READ,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.SYSTRAN,TRANSACT,TRANSACT-FILE,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,GDG Base,WRITE,COBOL
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,TCATBALF,TCATBAL-FILE,TRAN-CAT-BAL-RECORD,demo/cpy/CVTRA01Y.cpy,VSAM KSDS,READ,COBOL
CBCUS01C.cbl,demo/cbl/CBCUS01C.cbl,AWS.M2.CARDDEMO.CUSTDATA.VSAM.KSDS,CUSTFILE,CUSTFILE-FILE,CUSTOMER-RECORD,demo/cpy/CVCUS01Y.cpy,VSAM KSDS,READ,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE,ACCOUNT-INPUT,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,VSAM KSDS,READ,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.CARDDATA.VSAM.KSDS,CARDFILE,CARD-INPUT,CARD-RECORD,demo/cpy/CVACT02Y.cpy,VSAM KSDS,READ,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.CARDXREF.VSAM.KSDS,XREFFILE,XREF-INPUT,CARD-XREF-RECORD,demo/cpy/CVACT03Y.cpy,VSAM KSDS,READ,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.CUSTDATA.VSAM.KSDS,CUSTFILE,CUSTOMER-INPUT,CUSTOMER-RECORD,demo/cpy/CVCUS01Y.cpy,VSAM KSDS,READ,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.EXPORT.DATA,EXPFILE,EXPORT-OUTPUT,EXPORT-RECORD,demo/cpy/CVEXPORT.cpy,VSAM KSDS,WRITE,COBOL
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANSACT,TRANSACTION-INPUT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,VSAM KSDS,READ,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.ACCTDATA.IMPORT,ACCTOUT,ACCOUNT-OUTPUT,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,Dataset,WRITE,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.CARDXREF.IMPORT,XREFOUT,XREF-OUTPUT,CARD-XREF-RECORD,demo/cpy/CVACT03Y.cpy,Dataset,WRITE,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.CUSTDATA.IMPORT,CUSTOUT,CUSTOMER-OUTPUT,CUSTOMER-RECORD,demo/cpy/CVCUS01Y.cpy,Dataset,WRITE,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.EXPORT.DATA,EXPFILE,EXPORT-INPUT,EXPORT-RECORD,demo/cpy/CVEXPORT.cpy,VSAM KSDS,READ,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.IMPORT.ERRORS,ERROUT,ERROR-OUTPUT,,,Dataset,WRITE,COBOL
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,AWS.M2.CARDDEMO.TRANSACT.IMPORT,TRNXOUT,TRANSACTION-OUTPUT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,Dataset,WRITE,COBOL
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,IMS.DBDLIB,IMS,,,,Dataset,,COBOL
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,IMS.PROCLIB,PROCLIB,,,,Dataset,,COBOL
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,IMS.PSBLIB,IMS,,,,Dataset,,COBOL
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,IMS.SDFSRESL,DFSRESLB,,,,"Missing [Dataset, PDS]",,COBOL
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,IMS.SDFSRESL,DFSSEL,,,,"Missing [Dataset, PDS]",,COBOL
CBSTM03A.cbl,demo/cbl/CBSTM03A.CBL,AWS.M2.CARDDEMO.STATEMNT.HTML,HTMLFILE,HTML-FILE,,,Dataset,WRITE,COBOL
CBSTM03A.cbl,demo/cbl/CBSTM03A.CBL,AWS.M2.CARDDEMO.STATEMNT.PS,STMTFILE,STMT-FILE,,,Dataset,WRITE,COBOL
CBSTM03B.cbl,demo/cbl/CBSTM03B.CBL,AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE,ACCT-FILE,,,VSAM KSDS,READ,COBOL
CBSTM03B.cbl,demo/cbl/CBSTM03B.CBL,AWS.M2.CARDDEMO.CARDXREF.VSAM.KSDS,XREFFILE,XREF-FILE,,,VSAM KSDS,READ,COBOL
CBSTM03B.cbl,demo/cbl/CBSTM03B.CBL,AWS.M2.CARDDEMO.CUSTDATA.VSAM.KSDS,CUSTFILE,CUST-FILE,,,VSAM KSDS,READ,COBOL
CBSTM03B.cbl,demo/cbl/CBSTM03B.CBL,AWS.M2.CARDDEMO.TRXFL.VSAM.KSDS,TRNXFILE,TRNX-FILE,,,VSAM KSDS,READ,COBOL
CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,AWS.M2.CARDDEMO.ACCTDATA.VSAM.KSDS,ACCTFILE,ACCOUNT-FILE,ACCOUNT-RECORD,demo/cpy/CVACT01Y.cpy,VSAM KSDS,READ; UPDATE; WRITE,COBOL
CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,AWS.M2.CARDDEMO.CARDXREF.VSAM.KSDS,XREFFILE,XREF-FILE,CARD-XREF-RECORD,demo/cpy/CVACT03Y.cpy,VSAM KSDS,READ,COBOL
CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,AWS.M2.CARDDEMO.DALYREJS,DALYREJS,DALYREJS-FILE,,,GDG Base,WRITE,COBOL
CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,AWS.M2.CARDDEMO.DALYTRAN.PS,DALYTRAN,DALYTRAN-FILE,DALYTRAN-RECORD,demo/cpy/CVTRA06Y.cpy,Non VSAM,READ,COBOL
CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,TCATBALF,TCATBAL-FILE,TRAN-CAT-BAL-RECORD,demo/cpy/CVTRA01Y.cpy,VSAM KSDS,READ; UPDATE; WRITE,COBOL
